iter	Passed	Remaining
0	0	82
1	1	95
2	2	90
3	3	79
4	4	77
5	4	76
6	5	75
7	6	74
8	7	73
9	8	72
10	8	70
11	9	69
12	10	67
13	10	66
14	11	64
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	16	60
21	17	61
22	17	60
23	18	59
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	51
30	22	50
31	23	50
32	24	49
33	24	48
34	25	47
35	26	46
36	26	45
37	27	44
38	27	43
39	28	42
40	29	42
41	30	41
42	30	40
43	31	40
44	32	39
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	38	30
56	39	29
57	40	29
58	40	28
59	41	27
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	22
67	47	22
68	47	21
69	48	20
70	48	20
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	12
81	56	12
82	56	11
83	57	11
84	58	10
85	59	9
86	60	9
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	63	4
93	64	4
94	65	3
95	65	2
96	66	2
97	66	1
98	67	0
99	68	0
