iter	Passed	Remaining
0	11	11372
1	12	6035
2	12	4192
3	13	3266
4	13	2713
5	14	2347
6	14	2088
7	15	1890
8	15	1731
9	16	1605
10	16	1502
11	17	1418
12	17	1347
13	18	1284
14	18	1230
15	19	1183
16	19	1141
17	20	1103
18	20	1080
19	21	1053
20	22	1028
21	23	1045
22	24	1030
23	24	1013
24	25	996
25	26	977
26	26	962
27	27	947
28	27	936
29	28	924
30	29	910
31	29	897
32	30	884
33	30	873
34	31	862
35	31	851
36	32	841
37	32	832
38	33	826
39	34	820
40	34	812
41	35	815
42	36	809
43	36	803
44	38	809
45	39	818
46	40	819
47	41	819
48	41	814
49	42	808
50	43	802
51	43	796
52	44	791
53	44	785
54	45	780
55	45	774
56	46	769
57	47	764
58	47	759
59	48	753
60	48	748
61	49	743
62	49	743
63	50	740
64	51	736
65	51	735
66	55	773
67	56	775
68	57	770
69	57	767
70	58	764
71	58	760
72	59	756
73	60	752
74	60	748
75	61	744
76	61	740
77	62	736
78	62	734
79	63	730
80	64	727
81	64	727
82	65	721
83	65	718
84	66	716
85	68	725
86	69	726
87	70	730
88	71	729
89	71	727
90	72	724
91	73	721
92	73	719
93	74	716
94	74	712
95	75	710
96	75	707
97	76	704
98	77	702
99	77	701
100	78	699
101	79	698
102	79	696
103	80	693
104	81	690
105	81	688
106	85	711
107	86	715
108	87	713
109	87	710
110	88	710
111	89	709
112	90	706
113	90	704
114	91	704
115	92	701
116	92	698
117	93	695
118	93	693
119	94	690
120	95	696
121	96	693
122	99	710
123	101	713
124	101	712
125	102	713
126	103	711
127	104	709
128	105	712
129	106	710
130	106	707
131	108	710
132	108	709
133	109	707
134	110	705
135	110	702
136	111	699
137	111	697
138	114	711
139	115	711
140	116	709
141	116	706
142	117	704
143	118	702
144	119	702
145	119	700
146	120	698
147	120	696
148	121	694
149	122	692
150	122	691
151	123	689
152	124	686
153	124	684
154	125	682
155	125	680
156	126	677
157	126	675
158	130	689
159	131	688
160	131	685
161	132	683
162	132	682
163	133	680
164	134	681
165	135	679
166	135	677
167	136	675
168	137	674
169	137	672
170	138	670
171	138	668
172	139	666
173	140	664
174	140	662
175	141	660
176	141	658
177	142	658
178	144	665
179	145	664
180	146	662
181	146	660
182	147	659
183	148	658
184	148	656
185	149	654
186	150	652
187	150	650
188	151	649
189	151	647
190	152	646
191	153	644
192	153	642
193	154	640
194	154	638
195	155	636
196	155	634
197	156	632
198	156	630
199	157	630
200	159	634
201	160	633
202	161	633
203	162	632
204	162	630
205	163	629
206	163	628
207	164	626
208	165	624
209	165	623
210	166	622
211	166	620
212	167	618
213	168	617
214	168	615
215	169	614
216	169	612
217	170	611
218	170	609
219	171	607
220	171	606
221	172	605
222	173	604
223	175	606
224	175	604
225	176	605
226	177	604
227	178	604
228	179	605
229	180	603
230	181	602
231	181	601
232	182	600
233	182	598
234	183	598
235	184	596
236	184	595
237	185	593
238	185	592
239	186	590
240	187	589
241	188	591
242	189	591
243	190	591
244	191	590
245	192	588
246	192	587
247	193	586
248	193	585
249	194	583
250	195	582
251	195	580
252	196	579
253	196	577
254	197	577
255	198	575
256	200	578
257	200	577
258	201	575
259	201	574
260	202	572
261	206	582
262	207	581
263	208	580
264	208	579
265	209	577
266	210	576
267	210	575
268	211	574
269	212	573
270	213	573
271	213	572
272	214	571
273	215	570
274	216	571
275	219	574
276	220	575
277	221	574
278	222	574
279	223	573
280	224	573
281	224	572
282	225	571
283	226	570
284	226	568
285	227	567
286	228	566
287	228	565
288	229	564
289	230	563
290	230	562
291	231	560
292	231	559
293	232	558
294	233	557
295	235	559
296	235	558
297	236	557
298	237	556
299	237	555
300	238	554
301	239	552
302	239	551
303	240	550
304	240	548
305	241	547
306	242	546
307	242	545
308	243	545
309	244	543
310	244	542
311	245	541
312	246	540
313	246	539
314	247	537
315	248	537
316	249	536
317	250	536
318	251	537
319	252	536
320	253	535
321	253	534
322	254	533
323	255	532
324	255	531
325	256	530
326	257	530
327	258	529
328	259	528
329	259	527
330	260	526
331	261	525
332	261	524
333	262	523
334	262	521
335	263	521
336	265	521
337	267	523
338	268	523
339	269	522
340	269	521
341	270	520
342	271	520
343	272	519
344	272	518
345	273	517
346	274	515
347	274	514
348	275	513
349	276	512
350	276	511
351	277	510
352	277	509
353	278	508
354	279	508
355	281	508
356	282	508
357	283	507
358	283	506
359	284	505
360	285	504
361	285	503
362	286	502
363	286	501
364	287	499
365	287	498
366	288	498
367	289	497
368	290	496
369	297	506
370	299	508
371	338	572
372	339	571
373	341	570
374	353	588
375	354	587
376	356	588
377	369	608
378	370	607
379	371	606
380	372	604
381	372	603
382	373	601
383	373	599
384	375	599
385	376	598
386	376	597
387	378	596
388	378	594
389	379	593
390	380	591
391	380	590
392	381	588
393	381	587
394	382	585
395	382	583
396	383	582
397	383	580
398	384	579
399	385	577
400	385	576
401	386	574
402	391	580
403	393	580
404	394	579
405	395	578
406	396	577
407	397	576
408	398	575
409	398	573
410	399	572
411	399	570
412	400	569
413	401	568
414	402	567
415	403	565
416	404	565
417	405	564
418	406	564
419	407	562
420	408	561
421	408	559
422	409	558
423	410	556
424	410	555
425	411	554
426	411	552
427	412	551
428	412	549
429	413	548
430	414	546
431	414	545
432	415	543
433	415	542
434	416	541
435	417	539
436	417	538
437	418	536
438	419	535
439	420	534
440	421	534
441	422	533
442	423	531
443	423	530
444	424	529
445	424	527
446	425	526
447	425	524
448	426	523
449	426	521
450	427	520
451	427	518
452	428	517
453	429	516
454	429	514
455	430	513
456	430	511
457	431	510
458	432	509
459	432	508
460	433	506
461	434	506
462	436	505
463	438	506
464	438	505
465	439	503
466	440	502
467	440	500
468	441	499
469	441	498
470	442	496
471	442	495
472	443	494
473	444	492
474	444	491
475	444	489
476	445	488
477	446	487
478	446	486
479	447	484
480	448	483
481	448	482
482	449	481
483	450	479
484	451	479
485	452	478
486	453	477
487	453	476
488	454	474
489	455	473
490	455	472
491	456	471
492	456	469
493	457	468
494	458	467
495	458	466
496	459	464
497	459	463
498	460	462
499	461	461
500	461	459
501	462	458
502	462	457
503	463	455
504	463	454
